"number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"8429",NA,NA,NA,NA,NA,0,6.67701863354037,4.87654320987654,7.77970749542962,30.6482982171799
"1516",0,0,0,0,0,0,0,0,0,25.7
"4426",3,4.34741784037559,6.05498981670061,4.92,9.05479452054795,4.8282722513089,9.42857142857143,11.6517780938834,19.4428044280443,24.3399433427762
"3450",6.29765692797223,8.5439330543933,2.11595429538722,2.77777777777778,4.8780487804878,7.7120822622108,3.02114803625378,3.35820895522388,22.9605263157895,24.2207792207792
"2539",0,0,0,2.87738359201774,12.2936073059361,13.2862745098039,13.9983388704319,27.6880733944954,22.724795640327,23.6727879799666
"2929",NA,NA,NA,NA,NA,NA,0,12.5862068965517,4.77941176470588,23.4700315457413
"3209",11.2757051865332,12.736530491415,12.2651790347691,9,19.1551246537396,14.4897959183673,5.73972602739726,11.0592705167173,19.4596912521441,19.8709677419355
"2316",0,0,0,0,0,0,1.70212765957447,4.86322188449848,5.11945392491468,15.3321976149915
"3048",3.97877984084881,10.5105105105105,0,5.44959128065395,5.22058823529412,7.05394190871369,4.25531914893617,11.7421602787456,16.4412844036697,15.2631578947368
"9910",7.54327700220426,9.62927298988926,5.25394045534151,11.6782334384858,6.38297872340426,8.98006644518273,7.41085271317829,7.8150289017341,4.80929095354523,14.9940119760479
"2317",21.2567550584391,17.124344993627,16.0386176942687,13.5037593984962,11.1074197120709,11.6483516483516,11.8094089264174,13.6071428571429,9.19426048565121,14.5766590389016
"1442",0,0,8.52272727272727,6.72645739910314,8.31578947368421,8.75656742556918,3.33796940194715,11.142061281337,8.70588235294118,14.5248868778281
"2537",0,0,0,0,0,0,0,9.52671755725191,10.0833333333333,14.4516129032258
"6184",7.07547169811321,8.37138508371385,7.17531690983018,6.28366247755835,16.8699690402477,14.2424242424242,13.1347962382445,4.7438330170778,3.83877159309021,14.3888888888889
"2034",26.3176861987551,14.3809917355372,8.90785292782569,2.29357798165138,5.58891454965358,7.45341614906832,4.14201183431953,5.11073253833049,8.98876404494382,13.7735849056604
"6177",0,0,8.9,14.7,27.383850931677,8.36134453781512,20.8,2.6,24.5786163522013,13.2950819672131
"1808",26.2797542871769,24.1101520756268,17.0840108401084,20.6489675516224,4.88599348534202,11.5085158150852,8.84955752212389,1.101243339254,14.6886446886447,13.0548302872063
"4977",NA,NA,NA,NA,NA,NA,5.35457063711911,7.74406991260924,10.9602649006623,12.9347181008902
"1227",7.61570005858231,4.05040504050405,5.16045272969374,17.1436227224009,26.7730496453901,26.6373626373626,16.9417475728155,10.8979833926453,11.8223234624146,12.9161676646707
"2891",0,8.9021199819576,4.21465614430665,9.69896907216495,9.91375464684015,11.1121387283237,10.6883116883117,5.59526184538653,11.4820459290188,12.4021739130435
"2108",8.04878048780488,13.6805299963195,11.6697247706422,11.6697247706422,8.85714285714286,11.0120240480962,7.46913580246914,6.21606648199446,3.5,12.3529411764706
"2231",NA,NA,3.91466040321002,23.2132420091324,8.09716599190283,3.63802559414991,5.00625782227785,16.3864406779661,16.8285714285714,12.2929936305732
"1717",14.5450689289502,15.3070507960576,6.98324690865576,11.6971080669711,9.61538461538462,4.40528634361234,4.33925049309665,6.97163120567376,5.47112462006079,12.2674253200569
"2884",0,6.87562904385334,3,5.33333333333333,8.07816711590296,6.18343195266272,11.5037593984962,10.2793103448276,10.8515892420538,12.1608040201005
"2331",0,6.09330783938815,2.26654578422484,4.16666666666667,0,20.4979253112033,4.0983606557377,12.0481927710843,16.3934426229508,11.7647058823529
"3036",9.0648019939075,12.7886497064579,6.20612244897959,4.8695652173913,8.84115523465704,9.95876288659794,6,10.5005500550055,16.7264573991031,11.5462753950339
"3056",0,0,0,0,0,23.3277870216306,8.25732899022801,6.64206642066421,18.3333333333333,11.5273775216138
"2542",40.9504201680672,14.7096774193548,11.8077718583516,9.1970802919708,8.47222222222222,5.79150579150579,4.39238653001464,52.7359781121751,36.568144499179,11.2570356472795
"2887",0,1.65745856353591,0,11,8.34110787172012,10.7565400843882,10.535687732342,12.6044025157233,0.793650793650794,10.8501901140684
"1583",NA,14.6525156503594,7.03500203500203,1.44092219020173,7.57400257400257,5.15463917525773,4.91525423728813,6.09988518943743,5.10204081632653,10.8474576271186
"8404",NA,NA,NA,NA,10.3,9.37457044673539,3.15151515151515,4.83091787439614,4.30879712746858,10.7751937984496
"4968",NA,NA,NA,NA,NA,0,0,0,0,10.6373937677054
"2236",NA,NA,NA,NA,NA,NA,NA,NA,3.91176470588235,10.5865102639296
"6422",NA,NA,NA,NA,NA,NA,NA,0,9.83870967741936,10.2238805970149
"2597",NA,NA,NA,7.43801652892562,5.65476190476191,4.22960725075529,4,9.41336971350614,11.0782865583456,10.2108768035516
"2530",0,0,0,6.7808764940239,9.48412698412698,5.34821428571429,1.26582278481013,0,0,10.126582278481
"6112",4.08533817521562,15.7537399309551,7.70218228498075,12.2477876106195,15.1903114186851,16.0514372163389,12.3206442166911,15.0632911392405,6.8259385665529,10.1020408163265
"8163",19.2027716673999,14.3230157357773,8.65319045299561,8.19148936170213,4.76190476190476,2.12765957446809,2.73972602739726,0.934579439252336,1.91082802547771,10.0502512562814
"3257",NA,NA,NA,NA,6.23052959501558,5.92452830188679,8.94117647058824,8.64550264550265,16.2247191011236,10.0439429928741
"1213",0,0,0,0,0,0,0,0,0,10
"1436",10,0,0,0,2.03982683982684,0,0,0,18.2051282051282,10
"6269",0,0,14.8218694885362,8.36923076923077,6.42998846597463,6.31007194244604,6.70815450643777,13.1725888324873,6.17414829659319,9.95049504950495
"2892",6.24628450106157,7.80194174757282,5.23373428102788,5.01256281407035,7.171875,8.13333333333333,8.91935483870968,9.44498777506112,10.1939313984169,9.91310541310541
"3607",NA,NA,3.46020761245675,6.00600600600601,6.22083981337481,6.18407445708376,4.83552631578947,6.13461538461539,5.77190542420028,9.82456140350877
